Fecha,Descripcion,Categoria,Monto
2025-04-09,Bodega,Supermercados,108.55
2025-04-09,Alquiler/Cuota,Hogar & Servicios,442.78
2025-04-09,Software,Compras & Tech,2288.28
2025-04-09,Delivery Pizza,Restaurantes & Delivery,37.09
2025-04-09,Consulta Médica,Salud & Bienestar,19.61
2025-04-08,Suplementos,Salud & Bienestar,355.96
2025-04-08,Reparación Vehículo,Transporte & Auto,299.11
2025-04-08,Excursión,Viajes & Ocio,1401.98
2025-04-07,Software,Compras & Tech,789.57
2025-04-06,Consulta Médica,Salud & Bienestar,155.38
2025-04-06,Tienda de Conveniencia,Supermercados,232.21
2025-04-03,Servicios Básicos,Hogar & Servicios,102.15
2025-04-02,Suscripción Digital,Compras & Tech,5.0
2025-04-02,Tienda Electrónica,Compras & Tech,502.49
2025-04-01,Cafetería,Restaurantes & Delivery,178.55
2025-04-01,Comida Rápida,Restaurantes & Delivery,623.97
2025-03-31,Compras Granel,Supermercados,445.36
2025-03-30,Suplementos,Salud & Bienestar,579.67
2025-03-29,Pasaje Aéreo,Viajes & Ocio,5.0
2025-03-29,Alquiler/Cuota,Hogar & Servicios,413.88
2025-03-29,Tienda Electrónica,Compras & Tech,5.0
2025-03-28,Cafetería,Restaurantes & Delivery,30.58
2025-03-28,Delivery Pizza,Restaurantes & Delivery,263.41
2025-03-26,Suplementos,Salud & Bienestar,43.67
2025-03-25,Software,Compras & Tech,697.72
2025-03-25,Reembolso,Transferencias & Otros,92.55
2025-03-25,Supermercado Semanal,Supermercados,283.29
2025-03-25,Farmacia,Salud & Bienestar,309.22
2025-03-25,Regalo,Transferencias & Otros,80.59
2025-03-24,Suscripción Digital,Compras & Tech,1465.55
2025-03-23,Tienda Electrónica,Compras & Tech,841.57
2025-03-22,Pasaje Aéreo,Viajes & Ocio,1489.46
2025-03-22,Hotel,Viajes & Ocio,379.96
2025-03-21,Cena Fuera,Restaurantes & Delivery,459.34
2025-03-21,Otros,Transferencias & Otros,94.6
2025-03-20,Tienda de Conveniencia,Supermercados,242.87
2025-03-19,Spa/Tratamiento,Salud & Bienestar,748.82
2025-03-19,Tienda de Conveniencia,Supermercados,310.17
2025-03-19,Entradas Cine/Teatro,Viajes & Ocio,1069.09
2025-03-18,Excursión,Viajes & Ocio,117.21
2025-03-18,Estación de Servicio,Transporte & Auto,29.92
2025-03-17,Pasaje Aéreo,Viajes & Ocio,10.39
2025-03-16,Gimnasio,Salud & Bienestar,5.0
2025-03-15,Comida Rápida,Restaurantes & Delivery,317.71
2025-03-15,Servicios Básicos,Hogar & Servicios,66.96
2025-03-14,Software,Compras & Tech,318.53
2025-03-13,Tienda Online,Compras & Tech,634.71
2025-03-13,Mantenimiento Hogar,Hogar & Servicios,180.51
2025-03-12,Alquiler/Cuota,Hogar & Servicios,5.0
2025-03-11,Gimnasio,Salud & Bienestar,5.0
2025-03-10,Transferencia Familiar,Transferencias & Otros,133.31
2025-03-10,Spa/Tratamiento,Salud & Bienestar,5.0
2025-03-09,Spa/Tratamiento,Salud & Bienestar,472.55
2025-03-09,Artículos Limpieza,Hogar & Servicios,223.05
2025-03-09,Reembolso,Transferencias & Otros,45.56
2025-03-09,Delivery Pizza,Restaurantes & Delivery,156.39
2025-03-09,Entradas Cine/Teatro,Viajes & Ocio,618.33
2025-03-09,Estación de Servicio,Transporte & Auto,400.42
2025-03-07,Cafetería,Restaurantes & Delivery,885.45
2025-03-06,Cena Fuera,Restaurantes & Delivery,117.49
2025-03-06,Servicios Básicos,Hogar & Servicios,444.59
2025-03-06,Gimnasio,Salud & Bienestar,262.05
2025-03-05,Supermercado Semanal,Supermercados,190.86
2025-03-04,Cena Fuera,Restaurantes & Delivery,320.75
2025-03-04,Turismo Local,Viajes & Ocio,5.0
2025-03-04,Suplementos,Salud & Bienestar,194.76
2025-03-03,Suplementos,Salud & Bienestar,617.25
2025-03-02,Farmacia,Salud & Bienestar,483.62
2025-03-01,Excursión,Viajes & Ocio,1251.87
2025-03-01,Reembolso,Transferencias & Otros,146.01
2025-03-01,Estación de Servicio,Transporte & Auto,487.71
2025-02-28,Reembolso,Transferencias & Otros,162.24
2025-02-27,Internet/TV,Hogar & Servicios,5.0
2025-02-27,Gadget nuevo,Compras & Tech,5.0
2025-02-25,Bodega,Supermercados,406.92
2025-02-25,Estación de Servicio,Transporte & Auto,5.0
2025-02-23,Alquiler/Cuota,Hogar & Servicios,324.02
2025-02-22,Supermercado Semanal,Supermercados,218.97
2025-02-22,Artículos Limpieza,Hogar & Servicios,458.2
2025-02-21,Tienda Online,Compras & Tech,23.53
2025-02-20,Software,Compras & Tech,5.0
2025-02-19,Estación de Servicio,Transporte & Auto,5.0
2025-02-19,Mercado Central,Supermercados,403.34
2025-02-18,Alquiler/Cuota,Hogar & Servicios,5.0
2025-02-18,Gimnasio,Salud & Bienestar,305.13
2025-02-18,Peaje,Transporte & Auto,209.39
2025-02-17,Mantenimiento,Transporte & Auto,335.35
2025-02-16,Comida Rápida,Restaurantes & Delivery,265.4
2025-02-16,Suscripción Digital,Compras & Tech,1636.41
2025-02-15,Excursión,Viajes & Ocio,5.0
2025-02-15,Pago Amigo,Transferencias & Otros,94.3
2025-02-15,Internet/TV,Hogar & Servicios,5.0
2025-02-15,Mercado Central,Supermercados,218.52
2025-02-14,Alquiler/Cuota,Hogar & Servicios,5.0
2025-02-14,Otros,Transferencias & Otros,73.21
2025-02-14,Estación de Servicio,Transporte & Auto,5.0
2025-02-13,Pago Amigo,Transferencias & Otros,164.74
2025-02-12,Cafetería,Restaurantes & Delivery,119.48
2025-02-07,Spa/Tratamiento,Salud & Bienestar,616.51
2025-02-06,Delivery Pizza,Restaurantes & Delivery,5.0
2025-02-06,Mantenimiento Hogar,Hogar & Servicios,321.64
2025-02-06,Tienda de Conveniencia,Supermercados,58.42
2025-02-05,Peaje,Transporte & Auto,5.0
2025-02-05,Peaje,Transporte & Auto,88.53
2025-02-02,Artículos Limpieza,Hogar & Servicios,284.34
2025-02-02,Artículos Limpieza,Hogar & Servicios,5.0
2025-02-02,Reparación Vehículo,Transporte & Auto,112.85
2025-02-02,Alquiler/Cuota,Hogar & Servicios,578.12
2025-02-02,Excursión,Viajes & Ocio,5.0
2025-01-31,Gimnasio,Salud & Bienestar,544.55
2025-01-31,Suscripción Digital,Compras & Tech,695.47
2025-01-30,Spa/Tratamiento,Salud & Bienestar,5.0
2025-01-30,Restaurante Local,Restaurantes & Delivery,5.0
2025-01-29,Alquiler/Cuota,Hogar & Servicios,476.71
2025-01-29,Alquiler/Cuota,Hogar & Servicios,5.0
2025-01-28,Turismo Local,Viajes & Ocio,1137.67
2025-01-28,Excursión,Viajes & Ocio,1790.73
2025-01-27,Supermercado Semanal,Supermercados,95.26
2025-01-27,Gadget nuevo,Compras & Tech,972.27
2025-01-25,Regalo,Transferencias & Otros,5.0
2025-01-25,Internet/TV,Hogar & Servicios,125.48
2025-01-24,Cena Fuera,Restaurantes & Delivery,5.0
2025-01-24,Mercado Central,Supermercados,269.35
2025-01-24,Cena Fuera,Restaurantes & Delivery,5.0
2025-01-24,Pasaje Aéreo,Viajes & Ocio,1194.63
2025-01-23,Artículos Limpieza,Hogar & Servicios,1063.85
2025-01-23,Excursión,Viajes & Ocio,5.0
2025-01-23,Delivery Pizza,Restaurantes & Delivery,25.35
2025-01-23,Internet/TV,Hogar & Servicios,730.95
2025-01-21,Otros,Transferencias & Otros,82.59
2025-01-21,Spa/Tratamiento,Salud & Bienestar,23.67
2025-01-21,Peaje,Transporte & Auto,5.0
2025-01-20,Software,Compras & Tech,1250.24
2025-01-19,Servicios Básicos,Hogar & Servicios,182.11
2025-01-19,Comida Rápida,Restaurantes & Delivery,403.44
2025-01-18,Hotel,Viajes & Ocio,5.0
2025-01-17,Hotel,Viajes & Ocio,1167.0
2025-01-17,Restaurante Local,Restaurantes & Delivery,45.94
2025-01-14,Cena Fuera,Restaurantes & Delivery,436.15
2025-01-13,Mercado Central,Supermercados,251.59
2025-01-13,Taxi/Uber,Transporte & Auto,5.0
2025-01-12,Mercado Central,Supermercados,206.38
2025-01-12,Tienda Electrónica,Compras & Tech,393.96
2025-01-11,Software,Compras & Tech,5.0
2025-01-11,Gadget nuevo,Compras & Tech,5.0
2025-01-11,Mercado Central,Supermercados,296.13
2025-01-10,Suscripción Digital,Compras & Tech,5.0
2025-01-08,Excursión,Viajes & Ocio,5.0
2025-01-08,Tienda Electrónica,Compras & Tech,924.99
2025-01-08,Gimnasio,Salud & Bienestar,289.45
2025-01-07,Pasaje Aéreo,Viajes & Ocio,955.89
2025-01-07,Hotel,Viajes & Ocio,163.33
2025-01-07,Supermercado Semanal,Supermercados,191.79
2025-01-06,Hotel,Viajes & Ocio,5.0
2025-01-06,Suscripción Digital,Compras & Tech,1954.65
2025-01-06,Otros,Transferencias & Otros,39.05
2025-01-03,Comida Rápida,Restaurantes & Delivery,277.61
2025-01-03,Peaje,Transporte & Auto,439.23
2025-01-02,Tienda Electrónica,Compras & Tech,420.1
2025-01-02,Consulta Médica,Salud & Bienestar,115.6
2025-01-01,Regalo,Transferencias & Otros,140.56
